Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),,,
Styrofoam cups,Dart,1000,,,
Cup lids with straw slot,Dart,1000,,,
Cup lids ,Dart ,1000,,,
Cups ,Dart ,1000,,,
Cup lids ,Dart ,1000,,,
Cup lids ,Dart ,1000,,,
Cup lids ,Dart ,1000,,,
Cup lids ,Dart ,1000,,,
Cups ,Dart ,1000,,,
Cups ,Dart ,1000,,,
Fluoride Toothpaste,DawnMist,10,,,
Esophageal Stethescope,DeRoyal,1,,,
Side shields for prescription glasses,DeRoyal,10,,,
Muslin Gauze Towel,DeRoyal,1,,,
Mesh Gauze,DeRoyal,8,,,
Nasopharyngeal temp probe,DeRoyal,1,,,
Face goggles,DeRoyal,1,,,
Tape Measure,DeRoyal,2,,,
Tape Measure,DeRoyal,1,,,
nasopharyngeal temperature probe,DeRoyal,1,,,
Temp probes,DeRoyal,1,,,
DGP Pathoseal 95 (plastic pipets) ,DGP Intelsius Ltd.,200,,,
95 kPa Specimen Transport Bag,Dist. Tennant Packaging Corporation ,4,,,
Wipes,Diversey,160,,,
Arm sling,DJO,1,,,
Secure all limb holder,DJO,1,,,
DNA Kits,DNA Genotek,5,,,
DNA Collection Kit,DNA Genotek,5,,,
dove bar soap ,Dove,4,,,
Closed Urethral Tray w/ Vinyl Catheter,Dover,1,,,
Bare Hypodermic syringe 1 mL,DPS,300,,,
Bare hypodermic syringe ,DPS,1,,,
silicone nipple w bottle collar ,Dr. Brown’s Medical,11,,,
Silicone Nipples,Dr. Brown’s Medical,16,,,
Hypodermic Safety Needle,DropSafe,75,,,
Povidone Iodine Antiseptic Swabsticks,Dukal,13,,,
Povidone Iodine Antiseptic Swabsticks,Dukal,64,,,
Dressing ,Dukal,8,,,
Insolation Gown,Dukal,10,,,
Safety Needle,Duopress,200,,,
face mask,Dymex,200,,,
face masks,Dymex,2,,,
Dyna Lube Sterile,Dynarex,720,,,
Wound pouches ,Eakin,1,,,
Blood Collection Needle,Eclipse,71,,,
Blood Collection needles,Eclipse,60,,,
Microbore Administration Set,Eitan Medical,9,,,
Microbore Infusion Set,Eitan Medical,30,,,
Microbore Administration Set,Eitan Medical ,19,,,
Microbore infusion set with vented/non vented spike,Eitan Medical ,1,,,
Dilatation Catheter ,Emerge,3,,,
210mL bottle,Enfamil,1,,,
feeding syringes with purple caps,ENFit,144,,,
Female Luer/Oral-to-female D,ENFit,1,,,
Vascular Closure Device,Essential Medical (Manta),5,,,
Suture needle,Ethicon,1,,,
Needles ,Ethicon,8,,,
Dermabond topical skin adhesive ,Ethicon,1,,,
Surgicel fibrillar,Ethicon,1,,,
Coated Vicryl,Ethicon,48,,,
Suture Kits,Ethicon,7,,,
Suture,Ethicon,25,,,
Protective disk with CHG,Ethicon,1,,,
Protective Disk with CHG,Ethicon,10,,,
suture string ,Ethicon,12,,,
Absorbable Hemostat,Ethicon,1,,,
suture kits,Ethicon,1,,,
green braided non absorbable surure,Ethicon,20,,,
bio patch ,Ethicon,1,,,
Vistaseal Laparoscopic Dual Applicator,Ethicon,6,,,
Nylon suture,Ethilon,12,,,
Catheter/drip,Eurofins,13,,,
2mL test tubes,Eurofins,39,,,
Test tubes,Eurofins,25,,,
Balloon system,Ev3,1,,,
Snare kit ,Ev3,1,,,
Packing Gauze ,Fabco,1,,,
Dental Rolls,Fabco,8,,,
Test Tubes,Falcon,11,,,
large clinical pak ,FedEx,5,,,
Liquid Adhesive ,Ferndale Laboratories,4,,,
mosquito for pets 5’’,Fine Surgical Instruments,1,,,
Hemodialysis fistula needle set,Fingershield,250,,,
Slide Box,Fisher Scientific,10,,,
serological pipette,Fisher Scientific,15,,,
Slide box ,Fisher Scientific,1,,,
Swabs,FLOQSwabs,1,,,
Swabs,FLOQSwabs,27,,,
Swabs,FLOQSwabs,4,,,
Swabs,FLOQSwabs,2,,,
Biliary Balloon Probe,Fogarty,2,,,
Coloplast,Folysil ,1,,,
luer lock adapter 4 inch,Fresenius Medical Care,1,,,
Cord,GE HealthCare,1,,,
Microsuture,GEM,8,,,
Medium Nitrile Examination Gloves,Gen-X,100,,,
Testing kit ,Genmab ,5,,,
Plastic thing with hole in it,Genmab ,35,,,
Patient gown,Gentherm,1,,,
infant underbody,Gentherm,1,,,
Pediatric underbody ,Gentherm,6,,,
247 Pediatric Underbody ,Gentherm,9,,,
Rice Baby Food,Gerber,1,,,
dna diagnostic ,GF Health Products,4,,,
GLV 1 Stat,GlideScope,8,,,
Bronchoscope,GlideScope,1,,,
GVL 2 Stat,GlideScope,10,,,
GVL 2 Stat,GlideScope,3,,,
GVL 1 Stat,GlideScope,12,,,
GLIDESCOPE,GlideScope,4,,,
Catheter Exchange Long Taper,GLIDEWIRE,5,,,
Microscope Slide,GLOBE,9,,,
Eye Test Chart,Good-Lite,2,,,
staple line reinforcement ,Gore,2,,,
Monofilament,Gore,1,,,
Silver nitrate applicators ,Grafco ,100,,,
Needles,Greiner Bio-One,12,,,
Safety Blood Collection Set + Luer Adapter 23G,Greiner Bio-One,150,,,
Safety Tube Holder,Greiner Bio-One,1,,,
Safety Blood Collection Set + Luer Adapter,Greiner Bio-One,150,,,
Spinal needle,Hakko,1,,,
Spinal Needle,Hakko ,1,,,
Closed Line Adaptor,Halo,10,,,
B-Lock Closed Line Adaptor,Halo,28,,,
Endotracheal Tube,Halyard,2,,,
patient slippers,Halyard,2,,,
Patient slippers,Halyard,2,,,
Fog free surgical mask,Halyard,25,,,
Surgical Caps,Halyard,100,,,
Surgical cap,Halyard,100,,,
Patient slippers,Halyard,9,,,
Child’s face mask ,Halyard,75,,,
Powder free exam gloves,Halyard,15,,,
Curved blade with torque wrench ,Harmonic Synergy,1,,,
Bandage,Hartmann,1,,,
Spinal needle ,Havels,1,,,
Security bag,Health Care Logistics Inc,11,,,
Detergent,Henkel Corporation,3,,,
Compressor Nebulizer,Henry Schein,1,,,
Criterion Examination Gloves,Henry Schein,800,,,
FOB Enhanced Readability Test Kit,Henry Schein,1,,,
Flexible Fabric Strips,Henry Schein,200,,,
Cloth Surgical Tape,Henry Schein,120,,,
Earloop Procedure Masks,Henry Schein,150,,,
Paper Surgical Tape,Henry Schein,60,,,
All Gauze Sponges,Henry Schein,600,,,
Suture Removal Kit with PVP,Henry Schein,1,,,
Laceration Tray,Henry Schein,4,,,
Small Nitrile Examination Gloves,Henry Schein,100,,,
Safety Needle,Henry Schein,100,,,
Cotton Tipped Applicators ,Henry Schein,5,,,
All-Gauze Sponges,Henry Schein,150,,,
Cloth surgical tape ,Henry schein,5,,,
Cotton Tipper Applicators,Henry Schein,2000,,,
Cotton Tipped Applicators,Henry Schein,200,,,
Sheer Strip Bandaids,Henry Schein ,200,,,
Procedure Masks,Henry Schein ,50,,,
Gauze Pads,Henry Schein ,200,,,
Medium Nitrile Examination Gloves,Henry Schein ,700,,,
Paper Measuring Tape,Henry Schein ,4000,,,
Disposable ear curette ,Henry Schein ,2,,,
sharps disposal with some alcohol wipes inside ,Henry Schein ,1,,,
thermometer probe covers,Hillrom,1,,,
wall holder assembly ,Hillrom,1,,,
Urostomy bag,Hollister,2,,,
drainable irrigator sleeve,Hollister,1,,,
Hollister 40mm,Hollister,1,,,
Colostomy Bag,Hollister,20,,,
VaPro Plus Pocket,Hollister,1,,,
Urine Specimen Collector,Hollister,2,,,
Wound Drainage Catheter with Barrier,Hollister,8,,,
Suction Pad,Hollister,1,,,
Urostomy pouch,Hollister,7,,,
ostomy barrier ring pack of 10 ,Hollister,2,,,
Hydrocolloid Dressing,Hollister,5,,,
Lubricating Jelly,HR Pharmaceuticals,1,,,
Nasal Cannula,Hudson RCI,1,,,
nebulizer,Hudson RCI,20,,,
Intubating Stylet,Hudson RCI,1,,,
Pediatric Medium Concentration Oxygen Mask,Hudson RCI,18,,,
Respiration Kit,Hudson RCI,1,,,
Pediatric Oxygen Mask,Hudson RCI,23,,,
Nebulizer (w/ Pediatric Elongated Nebulizer Mask),Hudson RCI,21,,,
Up-draft II Opti-never Nebulizer,Hudson RCI,92,,,
Aerosol Face Tent,Hudson RCI,1,,,
Baby diapers,Huggies,28,,,
diapers ,Huggies,60,,,
Orange Tape ,HyTape,6,,,
Disposable transducer with rotating adaptor,ICP transpac ,1,,,
Non-pyrogenic Fluid path,ICU Medical,13,,,
Smallbore ext set,ICU Medical,1,,,
TURY Set,ICU Medical,1,,,
Tubing Arterial Pressure,ICU Medical,1,,,
Arterial Pressure tubing,ICU Medical,2,,,
shielded blood cannula,ICU Medical,1,,,
Arterial Pressure Tubing ,ICU Medical,10,,,
CathLab Kit,ICU Medical,5,,,
IV monitoring kit,ICU Medical,1,,,
Smallbore ext. set clamp rotating luter,ICU Medical,1,,,
6 Inch Monitoring Extension Set ,ICU Medical,1,,,
monitoring extension set ,ICU Medical,1,,,
6 inch monitoring extension ,ICU Medical,1,,,
72” arterial pressure tubing,ICU Medical,3,,,
Catheter,ICU Medical,1,,,
"Smallbore Ext Set, Clamp, Rotating Luer",ICU Medical,3,,,
IV monitoring kit neonatal,ICU Medical,1,,,
6 in monitoring extension set,ICU Medical,1,,,
Blood Sampling Tube Holder with Blunt Cannula,ICU Medical,58,,,
Disposable Transducer,ICU Medical,1,,,
15 inch Extension Set,ICU Medical,1,,,
rotating luer,ICU Medical,11,,,
Arterial pressure tubing,ICU Medical,2,,,
,ICU Medical,5,,,
Blood Sampling Tube ,ICU Medical,1,,,
Blood Sampling Tube Holder,ICU Medical,1,,,
Mailing Envelope Kit,Immunostics,1,,,
Laryngectomy tube,InHealth Technologies,1,,,
Stomasoft laryngectomy tube,InHealth Technologies,1,,,
External CSF drainage system replacement bags,Integra,1,,,
lumbar catheter closed tip,Integra,1,,,
Oxygen Tube with 2 super soft connectors,Intersurgical ,2,,,
Oxygen Tubing,Intersurgical ,1,,,
Tip Cover Accessory,Intuitive Surgical,1,,,
Silicone Sheeting,Invotec,2,,,
Quick core biopsy needle set,IZI Medical,1,,,
Disposable swabs,Jiangsu Changfeng ,1,,,
Facioplasty elastic support,Jobst,2,,,
Grandfoam Silver Dressing,KCI,1,,,
Whitefoam Dressing,KCI,1,,,
Dressing,KCI,4,,,
1000 mL Canister for InfoV.A.C therapy systems,KCI,1,,,
vac granufoam dressing ,KCI,5,,,
V.A.C Granuform Dressing,KCI,1,,,
canister for infovac ,KCI,1,,,
1000ml canister for InfoVAC and VACULTA,KCI,1,,,
gold M logo arm sling XL ,Kenad SG,1,,,
Hydrophilic foam dressing,Kendall,4,,,
Ventilator circuit,King Systems,9,,,
Pediatric Breathing Citcuit,King Systems,9,,,
Adult diapers,King Systems,50,,,
Sampling line,King Systems,1,,,
needles,KORU,35,,,
Cement Delivery System and Cartridged,Kyphon,1,,,
Mixer ,Kyphon ,1,,,
kit c: tpst pk collection ,LabConnect,5,,,
supply kit with pipette and specimen tube ,LabConnect,35,,,
kit d l: tpst pk collection,LabConnect,6,,,
Specimen Collection Bag,Labcorp,1,,,
Blood test kit ,Labcorp ,2,,,
Single use scalpel,Lance,1,,,
Lawei 200 pack,Lawei,200,,,
U-Bag urine collectors,Mabis,5,,,
BioGlo ,Madhu instruments,100,,,
Bottle Atomizer,MADomizer,1,,,
Hypodermic Safety Needle,Magellan,7,,,
Depth Locator,Manta,5,,,
Bra (36B US) - front opening - breast feeding,Mara SB FC,1,,,
Pediatric pulseox,Masimo,1,,,
pulse oximeter adhesive sensor,Masimo,1,,,
adult pulse oximeter adhesive sensor,Masimo,2,,,
Pulse oximeter adhesive sensor,Masimo,1,,,
Pulse oximeter adhesive sensor ,Masimo,1,,,
Neonatal pulse oximeter,Masimo,1,,,
alcohol prep pads,McKesson,2,,,
Alcohol Prep Pads,McKesson,800,,,
Alcohol Pads,McKesson,129,,,
Graduated Nurser,Mead Johnson,2,,,
Graduated nurser with cap,Mead Johnson ,2,,,
Phone ,Med-Pat,1,,,
35mL breast milk collection and storage containers,Medela,1,,,
Quick clean micro-steam bag,Medela,10,,,
Breast pump kit,Medela ,1,,,
4-way stopcock,Medex,1,,,
,Medex,22,,,
iv lock,Medex,20,,,
4 way - Stopcock,Medex,15,,,
M/F luer lock plug,Medex,10,,,
Blunt Cannula ,Medex,2,,,
Mini Duckbill Ck Valve,Medex,1,,,
dressing change kit,Medical Action industries,1,,,
O.R. Towel,Medical Action industries,1,,,
Suture removal kit,Medical Action Industries,1,,,
Gloves (XL),MediChoice,650,,,
Gloves (S),MediChoice,130,,,
cohesive bandages,MediChoice,1,,,
Surgical Gloves (L),MediChoice,150,,,
Respiratory Bags,MediChoice,30,,,
mucus specimen trap,MediChoice,2,,,
Cleaning enema bag ,MediChoice,3,,,
Guedel airway,MediChoice,3,,,
Guedel airway,MediChoice,2,,,
Procedure Mask,MediChoice,50,,,
Exam Gloves,MediChoice,150,,,
Suction tubing,MediChoice,1,,,
Neon glasses case,MediChoice,1,,,
Mouth airway ,MediChoice,1,,,
Mucus specimen trap,MediChoice,3,,,
Berman Airway,MediChoice,4,,,
Berman Airway,MediChoice,1,,,
Oral Swabette ,MediChoice,12,,,
Infant Heel Warmer,MediChoice,25,,,
Suction catheter,MediChoice,1,,,
Protective Underwear,MediChoice,16,,,
Protective Underwear/Diapers,MediChoice,20,,,
Cotton Tipped Applicators,MediChoice,1000,,,
Cotton tipped applicators - non sterile,MediChoice,300,,,
Staple Removal Kit,MediChoice,11,,,
Cohesive bandages ,MediChoice,24,,,
Field Towel/drape,MediChoice,50,,,
Skin stapler + gauze sponge,MediChoice,7,,,
impervious stockinette ,MediChoice,1,,,
Guedel airway,MediChoice,1,,,
Iv start kit,MediChoice,1,,,
pupil gauge ,MediChoice,1,,,
Guedel Airway,MediChoice,1,,,
Exam gloves - medium,MediChoice,150,,,
Safety Lancets,Medicore ,200,,,
Compression Stocking,Mediven ,1,,,
Surgical gloves,Medline,2,,,
2XL Exam Gloves,Medline,160,,,
CVC Dressing Kit,Medline,1,,,
Surgical gloves,Medline,35,,,
Providone-Iodine Swabsticks,Medline,10,,,
Elastic net,Medline,2,,,
2XL Exam Gloves,Medline,80,,,
cvc dressing kit,Medline,1,,,
CVC Dressing Kit,Medline,1,,,
Foam Dressing,Medline,10,,,
Tongue Depressor,Medline,5,,,
Surgical Skin Marker,Medline,1,,,
Surgical Gloves,Medline,1,,,
Dry Tray,Medline,1,,,
CVC Dressing Kit,Medline,1,,,
Woven gauze sponges,Medline,1,,,
Woven gauze sponges,Medline,1,,,
Surgical glove boxes L ,Medline,10,,,
Gauze Sponges ,Medline,1,,,
Nitrile gloves ,Medline,18,,,
Tonsil Sponge,Medline,18,,,
Alcohol wipes,Medline,200,,,
Anesthesia Mask,Medline,1,,,
Alcohol prep pads,Medline,1,,,
Urethral Catheter,Medline,1,,,
Pre-Connected Urethral catherization tray and bag,Medline,1,,,
Abdominal Pad,Medline,1,,,
Laceration Tray w/ Lidded TR,Medline,14,,,
Anesthesia Mask,Medline,1,,,
Non-conductive connecting tube 20’ length,Medline,2,,,
Elastic Net,Medline,2,,,
Gauze Sponges,Medline,9,,,
Optifoam basic,Medline,9,,,
gloves,Medline,1,,,
Control syringe,Medline,1,,,
Medical bandages,Medline,4,,,
Elastic Net,Medline,1,,,
Gauze bandage,Medline,1,,,
Conforming stretch gaze bandage,Medline,1,,,
X-RAY detectable gauze sponges,Medline,100,,,
Sterile Disposable Safety Scalpel,Medline,100,,,
Alcohol Prep Pad,Medline,4,,,
Soap Dish,Medline,1,,,
Minor Dry Skin Prep Tray,Medline,1,,,
Guaze Sponges,Medline,10,,,
Minor Dry Skin Prep Tray,Medline,1,,,
emesis bags,Medline,50,,,
Temperature Sensing,Medline,1,,,
USG piv kit,Medline,17,,,
Non woven drain sponges,Medline,64,,,
Skin Protectsnt,Medline,1,,,
Drain Sponges,Medline,8,,,
Sponges,Medline,150,,,
Gauze,Medline,10,,,
Ring Cushion,Medline,1,,,
Gauze bandage,Medline,1,,,
Dissector sponges,Medline,5,,,
Transparent Film w/ Pad,Medline,2,,,
Cotton Tipped Applicators,Medline,22,,,
Stretch Vinyl Exam Gloves,Medline,900,,,
Anti-skid instrument mat,Medline,67,,,
Urine Meter tray,Medline,10,,,
Exam gloves  ,Medline,150,,,
X-ray detectable gauze sponges ,Medline,80,,,
Gloves,Medline,50,,,
Surgical Gloves,Medline,7,,,
X-Ray Detectable Guaze sponges,Medline,17,,,
Abdominal Pad,Medline,1,,,
poly-lined fenestrated drape,Medline,6,,,
Gauze bandages ,Medline,4,,,
Padding,Medline,5,,,
Exam gloves,Medline,1,,,
comfort touch frame head rest,Medline,1,,,
transparent film dressing ,Medline,32,,,
gauze pads ,Medline,200,,,
Abdominal Pad,Medline,20,,,
Catheters,Medline,2,,,
Invisishield,Medline,3,,,
cvc dressing kit ,Medline,1,,,
Low pressure stopcock with rotating male collar ,Medline,1,,,
oral gel,Medline,19,,,
Gauze Badage,Medline,1,,,
urethral catheter ,Medline,2,,,
Transparent Film Dressing,Medline,10,,,
Woven gauze sponges,Medline,1,,,
gauze sponges,Medline,12,,,
transparent film  w pad ,Medline,6,,,
woven gauze sponges,Medline,200,,,
Pressure infuser,Medline,1,,,
CVC dressing kit,Medline,3,,,
Woven gauze sponge,Medline,10,,,
Patient Slippers,Medline,15,,,
Catheter stabilization device,Medline,2,,,
Foley Stabilization,Medline,1,,,
Cleanser ,Medline,5,,,
Standard Surgical O.R. Towels ,Medline,1,,,
Intubating Stylet,Medline,2,,,
Intubating stylet ,Medline,2,,,
Intubating Stylet/ADULT,Medline,1,,,
Elastic Bandage,Medline,1,,,
radiotranslucent electrode,Medline,1,,,
Infant Defibrillator Electrodes,Medline,1,,,
gel pack,Medpace ,8,,3M,325
Specimen collection kit A ,Medpace ,9,,,
Anti-Siphon Valve,Medstream,2,,,
Catheter valve,Medtronic,1,,,
DLP Perfusion Adapter,Medtronic,18,,,
Guiding catheter,Medtronic,1,,,
Stylet kit,Medtronic,1,,,
Adhesive Pad,Medtronic,15,,,
Nerve Locator,Medtronic,1,,,
Otologic Lamina,Medtronic,1,,,
Radial access catheter ,Medtronic,2,,,
Catheter Access Port Kit,Medtronic,3,,,
Single Stage Benous Cannula,Medtronic,2,,,
Tubing connector ,Medtronic,1,,,
Sinus-pak drawstring ,Medtronic,2,,,
,Mentor,3,,,
Border Heel,Mepilex,10,,,
Border Post-up,Mepilex,2,,,
StatCO2 Detector,Mercury Medical,3,,,
Child CPR-2 Bag,Mercury Medical,1,,,
MF-Milipore MCE Membrane,Merek Milipore,10,,,
Angiographic catheter,Merit Medical,1,,,
Angiographic catheter,Merit Medical,1,,,
Tubing ,Merit Medical,4,,,
Contrast delivery set,Merit Medical,1,,,
Stopper,Merit Medical,1,,,
fliplock needles,MHC Medical Products,50,,,
Flip lock needles,MHC Medical Products ,2,,,
Brace band ,Michigan Medicine,2,,,
Lavender Inhaler,Michigan Medicine,1,,,
ISO Drape Isolation Bag,Microtek Medical,1,,,
blood collection needles ,Micsafe,75,,,
safety blood collection needle,Micsafe,2,,,
extension set,MiniONE,1,,,
Surgical gloves ,Molnlycke,2,,,
Polychloroprene Surgical Gloves,Molnlycke,1,,,
Surgical Gloves,Molnlycke,34,,,
Surgical Gloves,Molnlycke,48,,,
Biogel PI Micro,Molnlycke,1,,,
Biogel Sensor,Molnlycke,1,,,
Foam Dressing,Molnlycke,8,,,
Surgical Indicator Underglove (size 7),Molnlycke,23,,,
Surgical Gloves (Biogel Pl),Molnlycke,155,,,
Biogel Sensor,Molnlycke,2,,,
Biogel Sensor,Molnlycke,3,,,
Latex surgical  gloves (size 7),Molnlycke,9,,,
Polyisoprene surgical gloves ,Molnlycke,6,,,
Polyisoprene surgical gloves (size 6),Molnlycke,1,,,
Polyisoprene surgical gloves ,Molnlycke,1,,,
6 1/2 surgical gloves,Molnlycke,2,,,
Border Heel,Molnlycke,3,,,
Border sacrum ,Molnlycke,1,,,
Mepilex lite,Molnlycke,2,,,
Surgical gloves,Molnlycke,20,,,
Surgical gloves ,Molnlycke,2,,,
Biogel Indicator Underglove,Molnlycke,47,,,
Surgical gloves ,Molnlycke,1,,,
Surgical gloves,Molnlycke,1,,,
7 1/2 surgical gloves,Molnlycke,2,,,
Surgical Gloves,Molnlycke,7,,,
Glove,Molnlycke,1,,,
peak flow meter,Monaghan,1,,,
Needle Caps ,Monoject,23,,,
Conditioning Garment,MXP fitnessgear,2,,,
Specimen containers,Nalge nunc International corporation ,3,,,
Low pressure stopcock with rotating male collar,Namic,1,,,
tuohy needle,Natus,1,,,
Oral/enteral feed/med,NeoMed,8,,,
50 ml Syringe for Enteral feedings,NeoMed,30,,,
Ahmed Glaucoma Valve,New World Medical,1,,,
Surgical Gloves (large),Nimo PPE,100,,,
disposable syringe,Nipro,8,,,
Disposable Syringes (10ml),Nipro,500,,,
Diapers ,Unknown,2,,,
Tubes,Unknown,1,,,
Tuning fork,Unknown,3,,,
Reflex hammer,Unknown,1,,,
Big syringe ,Unknown,10,,,
Face Shields,Unknown,2,,,
spray bottle caps,Unknown,3,,,
General Purpose Probe Cover,Unknown,2,,,
Pads,Unknown,2,,,
Spray bottle cap,Unknown,1,,,
PPE apron,Unknown,1,,,
Bedpan,Unknown,1,,,
Black braided suture ,Unknown,1,,,
Nylon,Unknown,6,,,
High Speed RAD 55 curved bur dental,Unknown,2,,,
EKG Electrodes,Unknown,3,,,
T-tube silicone,Unknown,1,,,
Tegaderm,Unknown,1,,,
Anesthesia bags,Unknown,4,,,
Equipment cover ,Unknown,13,,,
Sterilization tool,Unknown,2,,,
Catheter (fluid path),Unknown,25,,,
Sterile pipers ,Unknown,100,,,
Urine sample jars,Unknown,12,,,
Specimen bag ,Unknown,50,,,
UPEP,Unknown,4,,,
Funnel,Unknown,5,,,
Orange boxes?,Unknown,8,,,
bandaids,Unknown,5,,,
Sticker tags,Unknown,1,,,
Containers ,Unknown,10,,,
Test Tubes,Unknown,500,,,
Blue tourniquet bands,Unknown,2,,,
10,Unknown,10,,,
Tumor Tissue Box,Unknown,3,,,
Plastic test tube,Unknown,200,,,
White Small Test Tube,Unknown,150,,,
black small test tubes,Unknown,150,,,
Needle Kits,Unknown,50,,,
Urine 24hr protein,Unknown,37,,,
test tubes,Unknown,100,,,
Pipettes,Unknown,250,,,
Blue Small Test Tube,Unknown,4,,,
Big cylinder syringe cap,Unknown,50,,,
Green Test Tube,Unknown,1,,,
hematology,Unknown,15,,,
Orange Test Tube,Unknown,4,,,
Brown Test Tube,Unknown,4,,,
Subassembly G,Unknown,4,,,
Wires ,Unknown,2,,,
Little plastic bottle with lid ,Unknown,10,,,
Diagnostic tubes (in bags with random things),Unknown,11,,,
Plastic pipets ,Unknown,140,,,
Stickers,Unknown,3,,,
Specimen transport bags,Unknown,39,,,
SubassemblyG ,Unknown,23,,,
Clear pouches,Unknown,6,,,
Blood Collection Kit,Unknown,16,,,
Clear pouches,Unknown,2,,,
"Random fallen items, needles samples, tubes ",Unknown,300,,,
Accessory Drain Bag,Unknown,1,,,
luer lock connector,Unknown,11,,,
Assorted test tube+ supplies,Unknown,500,,,
Plating Kits,Unknown,50,,,
Stapler cannula seal,Unknown,7,,,
Random bags ,Unknown,15,,,
Random bags (tubes needles …),Unknown,15,,,
Sticky name tags,Unknown,3,,,
Pipettes,Unknown,50,,,
N95,Unknown,20,,,
Anesthia face mask,Unknown,3,,,
Balloon Bags  ,Unknown,4,,,
Tegaderm,Unknown,1,,,
Gauze,Unknown,2,,,
Urine test instructions ,Unknown,3,,,
Plastic Pad Large,Unknown,3,,,
Gauze,Unknown,50,,,
Cytology brush,Unknown,1,,,
Spider FX,Unknown,1,,,
Amplatzer ,Unknown,5,,,
Cardboard holders,Unknown,6,,,
Filter Funnel,Unknown,1,,,
Urine Collector,Unknown,18,,,
Blue and white tube,Unknown,1,,,
Sealable Foil Bags,Unknown,41,,,
Balloons,Unknown,9,,,
4 white tubes with blue mask attached ,Unknown,4,,,
Glidescope,Unknown,1,,,
Censitrac ,Unknown,1,,,
Plain white tubes,Unknown,6,,,
Percussor,Unknown,1,,,
Skinny small tubes,Unknown,8,,,
Mouthpiece,Unknown,2,,,
Test tubes ,Unknown,3,,,
Secure view port,Unknown,1,,,
Hair cover,Unknown,16,,,
Temperature log tag ,Unknown,1,,,
Waist bands ,Unknown,3,,,
Diapers ,Unknown,6,,,
Plain Slides,Unknown,10,,,
Blood collection ,Unknown,1,,,
Retail clothing lane ,Unknown,1,,,
Blue box,Unknown,1,,,
Feeding Tube,Unknown,2,,,
Pippetes ,Unknown,50,,,
Catheter,Unknown,1,,,
Bandages,Unknown,30,,,
Steri-Strip,Unknown,2,,,
Stax finger splint,Unknown,2,,,
Pad ,Unknown,1,,,
Orange tape,Unknown,1,,,
4-0 sutures ,Unknown,10,,,
Articulating loading unit,Unknown,4,,,
Face cover,Unknown,1,,,
Plastic containers,Unknown,1,,,
Plastic Bags,Unknown,2,,,
Wrap,Unknown,1,,,
Urine Sample Collectors,Unknown,15,,,
24 Hour Urine Containers,Unknown,5,,,
Face Shield,Unknown,2,,,
Face Shield,Unknown,1,,,
Surgical Drapes,Unknown,150,,,
Gauze ,Unknown,10,,,
Specimen Bag ,Unknown,200,,,
Syringes ,Unknown,4,,,
Stethoscope ,Unknown,1,,,
White cloth gauze,Unknown,2,,,
White cloth (surgical dressing?),Unknown,1,,,
Arm Sling,Unknown,2,,,
Syringe needles,Unknown,20,,,
Catheter tubing,Unknown,1,,,
Guaze,Unknown,100,,,
Specimen Bags,Unknown,400,,,
Residual leg limb sock for prosthetic ,Unknown,1,,,
Foam Swabs + Tray (3 foam swabs per tray),Unknown,7,,,
Cloth Arm sling (medium/large),Unknown,1,,,
Latex Bands,Unknown,2,,,
Memory foam pads / splints,Unknown,7,,,
Personal Belonging Bags,Unknown,3,,,
Toothbrush,Unknown,1,,,
Brace,Unknown,1,,,
,Unknown,2,,,
 Diapers,Unknown,9,,,
Gauze wrap,Unknown,7,,,
Tape,Unknown,5,,,
plastic cups ,Unknown,40,,,
test tube ,Unknown,10,,,
Gauze,Unknown,2,,,
exploratory plasma 1 test tube ,Unknown,7,,,
test tube medium,Unknown,9,,,
Tube,Unknown,1,,,
fluid solidified kit ,Unknown,5,,,
Bedpan ,Unknown,1,,,
disposable pipettes ,Unknown,20,,,
plastic pipettes,Unknown,350,,,
Cleaning wands,Unknown,5,,,
Urine sample cups,Unknown,10,,,
Serum collector (black circle cap),Unknown,450,,,
opaque yellow/clear 1.8ml tubes,Unknown,150,,,
small and large red capped collection tubes,Unknown,20,,,
larger PK sample collection tubes,Unknown,50,,,
orange capped vials ,Unknown,50,,,
red capped vial,Unknown,7,,,
Green ADA sampling tubes + 7plex second tubes,Unknown,20,,,
Syringes,Unknown,3,,,
orange tube,Unknown,1,,,
tegaderm film,Unknown,2,,,
Pipettes ,Unknown,300,,,
Assorted Viles,Unknown,400,,,
pipettes ,Unknown,4,,,
Vent Tubing,Unknown,15,,,
Inflatable Ambu Bags,Unknown,12,,,
Specimen Transport Bag,Unknown,100,,,
Pipette ,Unknown,150,,,
Plastic cups ,Unknown,15,,,
Vial,Unknown,50,,,
EKG Electrode sticker,Unknown,50,,,
Vial,Unknown,200,,,
purple syringes,Unknown,75,,,
Nasal cannula ,Unknown,1,,,
Syringes ,Unknown,70,,,
Urine Cup,Unknown,5,,,
specimen bags assorted sizes ,Unknown,21,,,
Sample Collection,Unknown,4,,,
Pipettes ,Unknown,350,,,
Intubation equipment,Unknown,1,,,
blood draw kits,Unknown,20,,,
IV tape,Unknown,2,,,
Syringes ,Unknown,30,,,
urine collection tubes ,Unknown,6,,,
Biohazard Bag,Unknown,100,,,
glass slides ,Unknown,7,,,
oxygen tubing,Unknown,1,,,
3 ml pipet,Unknown,33,,,
Vial,Unknown,100,,,
Loose cups,Unknown,15,,,
