Pallet,"Month, Year",Timestamp,Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),Expiration date (ex. 12/31/2024),Category,Notes,Pallet Number (Blueprints member will give this),Box Number (Blueprints member will give this)
,,1/19/2024 16:41:16,Silicone Sheeting,Invotec,2,11/27/2023,Other,,11,29
,,1/19/2024 16:41:19,Protective disk with CHG,Biopatch,2,5/31/2025,Other,,11,27
,,1/19/2024 16:41:42,Extension Tube,Covidien,2,,Catheters/tubing,,11,29
,,1/19/2024 16:41:50,Transpore Tape,3M,3,,Bandages/gauze,No expiration date,11,27
,,1/19/2024 16:41:57,MaxGuard Bi-fuse extension set,BD,1,2/14/2027,Other,,11,27
,,1/19/2024 16:42:10,Nasal Divided Cannula,Salter Labs,1,12/5/2027,Catheters/tubing,,11,27
,,1/19/2024 16:42:20,Nonadherent strips,Covidien,5,6/1/2023,Bandages/gauze,,11,29
,,1/19/2024 16:42:29,Temperature sensing hydrogel coated foley catheter,Bard,1,10/31/2021,Catheters/tubing,,11,29
,,1/19/2024 16:42:52,Anesthesia face mask pediatrics ,Ambu,2,6/14/2023,Other,,11,27
,,1/19/2024 16:42:54,Spinal needle,BD,2,1/31/2028,Syringe/needles,,11,27
,,1/19/2024 16:42:55,Tisseel Spray Set,Baxter,1,1/9/2024,Other,,11,29
,,1/19/2024 16:43:03,Nerve Locator,Medtronic,1,10/1/2023,Surgical,,11,29
,,1/19/2024 16:43:13,Foley catheter,Bard,,7/31/2021,Catheters/tubing,,11,29
,,1/19/2024 16:43:18,Curved blade with torque wrench ,Harmonic Synergy,1,9/30/2023,Surgical,,11,29
,,1/19/2024 16:43:22,CVC Dressing Kit,Medline,1,11/30/2024,PPE,,11,27
,,1/19/2024 16:43:23,Oxygen Tube with 2 super soft connectors,INTERSURGICAL,2,3/31/2023,Catheters/tubing,,11,27
,,1/19/2024 16:43:56,Stomasoft laryngectomy tube,Inhealth technologies,1,4/1/2023,Catheters/tubing,,11,29
,,1/19/2024 16:44:10,EKG Electrodes,No manufacturer listed,3,,Diagnostic,,11,27
,,1/19/2024 16:44:11,Tip Cover Accessory,Intuitive Surgical,1,7/31/2023,Other,,11,29
,,1/19/2024 16:44:23,Laryngectomy tube,In health technology ,1,5/26/2023,Catheters/tubing,,11,29
,,1/19/2024 16:44:24,Ahmed Glaucoma Valve,New World Medical,1,12/31/2021,Other,,11,29
,,1/19/2024 16:44:56,Smallbore ext. set clamp rotating luter,ICU medical ,1,8/1/2028,Catheters/tubing,,11,27
,,1/19/2024 16:44:56,Neonatal pulse oximeter,Masimoset,1,7/1/2023,Diagnostic,,11,27
,,1/19/2024 16:45:17,Nasopore 8cm,Stryker,1,10/25/2023,Bandages/gauze,,11,29
,,1/19/2024 16:45:35,Insyte Autoguard,BD,1,1/31/2024,Other,,11,27
,,1/19/2024 16:45:36,Blood Transfer Drive,,1,12/31/2024,Other,,11,27
,,1/19/2024 16:45:38,Needles ,Ethicon,8,9/30/2028,Syringe/needles,,11,29
,,1/19/2024 16:45:40,Catheter stabilization device,Statlock,2,12/28/2022,Catheters/tubing,,11,29
,,1/19/2024 16:45:46,Nasopore 4cm,Stryker,2,8/29/2023,Bandages/gauze,,11,29
,,1/19/2024 16:46:22,Bandaid,CURAD,2,,Bandages/gauze,,11,27
,,1/19/2024 16:46:37,Monofilament,Goretex,1,9/2/2028,Surgical,,11,29
,,1/19/2024 16:46:41,Salem sump,Covidien ,1,2/29/2028,Catheters/tubing,,11,27
,,1/19/2024 16:46:49,Medipore + pad,3M,1,2/1/2023,Bandages/gauze,,11,29
,,1/19/2024 16:47:00,Disposable single electrode,Technomed Europe,1,3/1/2023,Syringe/needles,,11,29
,,1/19/2024 16:47:13,Guedel Airway,Medichoice ,1,11/15/2022,Catheters/tubing,,11,27
,,1/19/2024 16:47:17,Polypectomy snare 15mm rounded-stiff,Boston Scientific,1,7/31/2021,,,11,29
,,1/19/2024 16:47:38,Oral/Nasal Tracheal Tube,Covidien,1,7/25/2022,Catheters/tubing,,11,29
,,1/19/2024 16:47:50,Hubless Silicone flat drain,Bard,1,3/31/2024,Catheters/tubing,,11,29
,,1/19/2024 16:48:22,Otologic Lamina,Medtronic,1,12/11/2023,Bandages/gauze,,11,29
,,1/19/2024 16:48:43,Introcan Saftey IV Catheter,Braun,1,6/1/2024,Catheters/tubing,,11,27
,,1/19/2024 16:48:45,T-tube silicone,No manufacturer listed,1,8/11/2020,Catheters/tubing,,11,29
,,1/19/2024 16:48:50,Nail,Saint Johns,1,,Other,,11,29
,,1/19/2024 16:49:03,Bi-fuse extension set,BD,1,7/4/2025,Catheters/tubing,,11,27
,,1/19/2024 16:49:50,Lubricating Jelly,HR Pharmaceuticals,1,5/31/2028,Surgical,,11,27
,,1/19/2024 16:49:50,Protective disk with CHG,Biopatch,1,5/31/2025,Other,,11,27
,,1/19/2024 16:49:58,Micropore,3M,1,,Bandages/gauze,No expiration ,11,27
,,1/19/2024 16:50:00,Aspirator,Radiometer,1,10/6/2023,Syringe/needles,,11,27
,,1/19/2024 16:50:55,Tegaderm,No manufacturer listed,1,,Bandages/gauze,,11,27
,,1/19/2024 16:51:00,4-way stopcock,Medex,1,3/21/2023,Other,,11,27
,,1/19/2024 16:51:16,Spring wire guide ,Arrow ,1,9/30/2023,Catheters/tubing,,11,27
,,1/19/2024 16:51:15,Blood Sampling Tube ,Safeset,1,12/1/2023,Syringe/needles,,11,27
,,1/19/2024 16:51:44,Anesthesia bags,No manufacturer listed,4,,Surgical,,11,27
,,1/19/2024 16:52:13,EKG Electrodw,CONMED,1,,Diagnostic,,11,27
,,1/19/2024 16:52:23,Mini Duckbill Ck Valve,Medex ,1,6/20/2022,Catheters/tubing,,11,27
,,1/19/2024 16:52:23,Woven gauze sponges,Medline,1,,Bandages/gauze,,11,27
,,1/19/2024 16:53:18,Dermabond topical skin adhesive ,Ethicon,1,7/31/2024,Other,,11,27
,,1/19/2024 16:54:00,Woven gauze sponges,Medline,1,,Bandages/gauze,,11,27
,,1/19/2024 16:54:14,10 ml syringe,BD,2,,Syringe/needles,Unpackaged,11,27
,,1/19/2024 16:54:48,ECG Electrode,ConMed,1,10/24/2024,Diagnostic,,11,27
,,1/19/2024 16:55:10,Port,Centurion,1,,Other,,11,27
,,1/19/2024 16:56:19,Mouth airway ,Medichoice,1,12/15/2022,Other,,11,27
,,2/9/2024 15:22:27,Surgical glove boxes L ,Medline,10,2/1/2022,PPE,,12,2
,,2/9/2024 15:22:29,Gauze Sponges ,Medline,1,,Bandages/gauze,,12,1
,,2/9/2024 15:23:16,Gauze ,Coviden ,13,,Bandages/gauze,,12,1
,,2/9/2024 15:23:16,BD Whitacre Needle,BD,5,,Syringe/needles,,12,1
,,2/9/2024 15:23:35,Clear Tape ,Transpore,9,,Bandages/gauze,,12,1
,,2/9/2024 15:23:52,Blunt Fill Needle-Filter,BD,20,4/30/2024,Syringe/needles,,12,1
,,2/9/2024 15:25:04,Equipment cover ,No manufacturer listed,13,7/26/2028,PPE,,12,3
,,2/9/2024 15:25:10,Orange Tape ,HyTape,6,,Bandages/gauze,,12,1
,,2/9/2024 15:25:13,Sterilization tool,No manufacturer listed,2,,Surgical,,12,1
,,2/9/2024 15:25:31,1 mL syringes,BD,9,12/31/2023,Syringe/needles,,12,1
,,2/9/2024 15:25:54,FASTRACE,Conmed,3,12/19/2023,Other,,12,3
,,2/9/2024 15:26:05,Gauze ,Durapore,9,,Bandages/gauze,,12,1
,,2/9/2024 15:26:24,Needleless Med Prep Cannula,Covidien,8,5/31/2024,Other,,12,1
,,2/9/2024 15:26:42,Epidural Catheter,Portex,6,6/12/2023,Catheters/tubing,"Some past use date, some not ",12,1
,,2/9/2024 15:26:49,5mL syringes,BD,8,,Syringe/needles,,12,1
,,2/9/2024 15:26:51,AMT Mini Enteral Extension Set,Applied Medical Technology ,30,11/1/2026,Catheters/tubing,,12,3
,,2/9/2024 15:26:53,Epidural Catheter,Portex,4,9/1/2022,Catheters/tubing,,12,1
,,2/9/2024 15:26:55,Nose cushion,Respironics ,2,,Other,,12,3
,,2/9/2024 15:26:55,Tegaderm 2x2,3M,30,1/13/2023,Bandages/gauze,,12,1
,,2/9/2024 15:27:12,SafetyGlide 1ml Syringe,BD,25,9/30/2023,Syringe/needles,,12,1
,,2/9/2024 15:27:29,Liquid Adhesive ,Ferndale Laboratories,4,,Other,,12,1
,,2/9/2024 15:27:49,10mL syringes,BD,12,7/31/2022,Syringe/needles,,12,1
,,2/9/2024 15:27:54,Catheter (fluid path),No manufacturer listed,25,3/1/2028,Catheters/tubing,,12,3
,,2/9/2024 15:28:24,Needle Caps ,Monoject,23,,Syringe/needles,,12,1
,,2/9/2024 15:28:26,Brace band ,Michigan ,2,,Bandages/gauze,,12,3
,,2/9/2024 15:28:31,30 mal syringes,BD,2,,Syringe/needles,,12,1
,,2/9/2024 15:28:55,Nitrile gloves ,Medline,18,,PPE,,12,4
,,2/9/2024 15:29:00,Epidural Needle ,Arrow,9,10/31/2020,Syringe/needles,,12,1
,,2/9/2024 15:29:09,IV Connector ,Baxter ,3,,Catheters/tubing,,12,1
,,2/9/2024 15:29:09,Tegaderm 4x4,3M,13,11/16/2022,Bandages/gauze,,12,1
,,2/9/2024 15:29:11,Luer lock plug ,Smiths medical ,39,11/18/2021,Other,,12,1
,,2/9/2024 15:29:13,Catheter Connector,Portex,6,12/9/2017,Catheters/tubing,Some expired and some not,12,1
,,2/9/2024 15:29:17,Compound Benzoin Tincture Swabstick,Aplicare,4,,Diagnostic,,12,1
,,2/9/2024 15:29:24,3 mL syringes ,BD,20,,Syringe/needles,,12,1
,,2/9/2024 15:29:32,Urological catheter ,Bard ,4,11/30/2027,Catheters/tubing,,12,3
,,2/9/2024 15:29:53,Tonsil Sponge,Medline,18,,Bandages/gauze,,12,3
,,2/9/2024 15:30:09,Skin Closure,Steri Strip,1,,Bandages/gauze,,12,1
,,2/9/2024 15:30:21,Resistance syringe ,Portex ,2,9/30/2022,Syringe/needles,,12,1
,,2/9/2024 15:30:22,Graduated Suction Catheter with Chimney Valve,Covidien,1,,Catheters/tubing,,12,4
,,2/9/2024 15:30:27,Flat epidural filter,Teleflex medical,2,,Catheters/tubing,,12,1
,,2/9/2024 15:30:27,1.5 needle,BD,1,,Syringe/needles,,12,1
,,2/9/2024 15:30:34,Wall manometer adapter ,Critikon ,2,,Diagnostic,,12,3
,,2/9/2024 15:31:12,Disposable inner cannula ,Covidien ,14,9/7/2028,Catheters/tubing,,12,4
,,2/9/2024 15:31:19,,Medex,22,,Catheters/tubing,,12,1
,,2/9/2024 15:31:26,Cadd extension set,Smiths medical,1,6/3/2024,Catheters/tubing,,12,1
,,2/9/2024 15:31:33,Epidural Needles 8.89cm,Arrow,6,10/31/2020,Syringe/needles,,12,1
,,2/9/2024 15:32:08,Suction Catheter with Chimney Valve ,Cardinal Health,3,,Catheters/tubing,,12,4
,,2/9/2024 15:32:27,Steri-Drape,3M,3,11/24/2025,Bandages/gauze,,12,4
,,2/9/2024 15:32:32,Alcohol wipes,Medline,200,,Hygiene,,12,1
,,2/9/2024 15:33:21,Urostomy bag,Hollister,2,,Other,,12,4
,,2/9/2024 15:33:59,Oral/Nasal Tracheal Tube Cuffless,Covidien ,2,8/4/2028,Catheters/tubing,,12,4
,,2/9/2024 15:34:14,Luer Lock Connector ,BD,5,10/31/2026,Catheters/tubing,,12,4
,,2/9/2024 15:34:37,CO2 detector pedi,Ambu ,1,10/31/2026,Diagnostic,,12,4
,,2/9/2024 15:34:42,face mask,ambu,1,8/7/2026,PPE,,12,4
,,2/9/2024 15:34:43,Ambu CO2 detector,Ambu,1,8/1/2026,Catheters/tubing,,12,4
,,2/9/2024 15:34:44,Set rallonge ,Couvidien ,12,10/31/2028,Catheters/tubing,,12,4
,,2/9/2024 15:35:13,SafetyGlide Needle ,BD,5,4/30/2027,Syringe/needles,,12,4
,,2/9/2024 15:35:30,SpeediCath Compact Set,SpeediCath,1,10/20/2023,Catheters/tubing,,12,4
,,2/9/2024 15:35:49,Catheter/drip,Eurofins,13,,Catheters/tubing,,12,6
,,2/9/2024 15:36:07,Introducer ,SunMed ,2,8/15/2024,Catheters/tubing,,12,4
,,2/9/2024 15:36:42,Catheter Leg Band ,Dale ,1,12/31/2027,Bandages/gauze,,12,4
,,2/9/2024 15:36:54,Foley Catheter,Bardex ,1,11/30/2026,Catheters/tubing,,12,4
,,2/9/2024 15:36:55,External CSF drainage system replacement bags,Integra,1,9/30/2027,Catheters/tubing,,12,4
,,2/9/2024 15:37:00,DGP Pathoseal 95 (plastic pipets) ,DGP Intelsius Ltd.,200,5/8/2021,Diagnostic,Unsure total #,12,6
,,2/9/2024 15:37:20,2mL test tubes,Eurofins,39,,Other,,12,6
,,2/9/2024 15:37:39,Compression stockings ,Albahealth,1,,Bandages/gauze,,12,4
,,2/9/2024 15:38:00,Thumb forceps ,Busse,9,7/30/2028,Surgical,,12,5
,,2/9/2024 15:38:02,Graduated Suction Catheter with Chimney Valve,Cardinal Health,1,,Catheters/tubing,,12,4
,,2/9/2024 15:38:05,Protective powder,Stomahesive ,1,6/1/2026,Other,,12,4
,,2/9/2024 15:38:33,Micropuncture Introducer set,Cook Med,1,10/3/2026,Syringe/needles,,12,4
,,2/9/2024 15:38:35,Anesthesia Mask,Medline,1,,Other,,12,4
,,2/9/2024 15:38:38,Sterile pipers ,No manufacturer listed,80-100,4/18/2025,Diagnostic,Unsure total #,12,6
,,2/9/2024 15:38:51,Test tubes,Eurofins,25,,Other,,12,6
,,2/9/2024 15:39:02,Sample boxes,Argos ,20,,Other,,12,5
,,2/9/2024 15:39:15,Airway,Teleflex ,1,7/8/2021,Catheters/tubing,,12,4
,,2/9/2024 15:39:17,Disposable Hyperinflation System,Ambu ,1,7/1/2025,Other,,12,4
,,2/9/2024 15:39:27,Urine sample jars,No manufacturer listed,12,,Diagnostic,,12,5
,,2/9/2024 15:39:34,medication transfer bag,,1,,Hygiene,,12,4
,,2/9/2024 15:40:00,Blood draw kits,BD,12,,Other,,12,5
,,2/9/2024 15:40:10,Specimen bag ,No manufacturer listed,50,,Other,,12,6
,,2/9/2024 15:40:15,UPEP,No manufacturer listed,4,,Other,,12,5
,,2/9/2024 15:40:39,Intubating Stylet/ADULT,Novaplus,1,6/27/2028,Catheters/tubing,,12,4
,,2/9/2024 15:40:48,Adult flexible tracheostomy tube,Covidien ,1,8/4/2028,Catheters/tubing,,12,4
,,2/9/2024 15:40:49,Funnel,No manufacturer listed,5,,Other,,12,5
,,2/9/2024 15:41:26,Safety infusion set ,miniLoc,1,5/11/2026,Catheters/tubing,,12,4
,,2/9/2024 15:41:31,Orange boxes?,No manufacturer listed,8,,Other,,12,5
,,2/9/2024 15:42:05,Milk straw with enfit connection,Covidien ,1,1/31/2028,Catheters/tubing,,12,4
,,2/9/2024 15:42:43,Coloplast,Folysil ,1,10/3/2028,Catheters/tubing,,12,4
,,2/9/2024 15:42:55,ECG tab style electrode,CONMED,1,12/18/2025,Diagnostic,,12,4
,,2/9/2024 15:43:06,bandaids,No manufacturer listed,5,,Bandages/gauze,,12,5
,,2/9/2024 15:43:26,Sticker tags,No manufacturer listed,1,,Other,,12,4
,,2/9/2024 15:43:35,Pipette ,,150,,Other,,12,5
,,2/9/2024 15:43:53,Y-Site extension with enfit connection ,Covidien ,1,10/31/2027,Catheters/tubing,,12,4
,,2/9/2024 15:44:11,Blood test kit ,Labcorp ,2,12/31/2023,Diagnostic,,12,5
,,2/9/2024 15:44:21,disposable endotracheal Stylet,teleflex,1,10/28/2025,Catheters/tubing,,12,4
,,2/9/2024 15:44:29,Blood Collection Needle,Eclipse,71,1/1/0001,Syringe/needles,No exp. date,12,5
,,2/9/2024 15:44:31,Needles,Greiner,12,9/7/2025,Syringe/needles,,12,5
,,2/9/2024 15:45:04,Cap ,BD,90,,Other,,12,5
,,2/9/2024 15:45:11,Containers ,No manufacturer listed,10,,Other,,12,5
,,2/9/2024 15:45:21,Med Bags ,Cardinal Health,3,,Bandages/gauze,,12,5
,,2/9/2024 15:45:32,IV ,BD,20,5/31/2026,Syringe/needles,,12,5
,,2/9/2024 15:46:30,Test Tubes,No manufacturer listed,450-500,,Diagnostic,,12,8
,,2/9/2024 15:46:33,Blue tourniquet bands,No manufacturer listed,2,,Other,,12,5
,,2/9/2024 15:46:44,Med Bag,Cardinal Health,5,,Bandages/gauze,,12,5
,,2/9/2024 15:46:49,Miscellaneous ,,70,,Diagnostic,,12,5
,,2/9/2024 15:46:56,drainable irrigator sleeve,hollister,1,,Other,,12,4
,,2/9/2024 15:47:17,Hollister 40mm,Hollister,1,,Other,,12,4
,,2/9/2024 15:47:33,Jug,,7,,Other,,12,5
,,2/9/2024 15:48:27,Female Luer/Oral-to-female D,Enfit ,1,3/1/2026,Other,,12,4
,,2/9/2024 15:49:41,gel wrap,quintiles laboratories ,14,,Other,,12,4
,,2/9/2024 15:51:09,10,No manufacturer listed,10,,Other,,12,11
,,2/9/2024 15:54:52,Abdominal pad,Covidien,17,10/1/2023,Other,,12,12
,,2/9/2024 15:54:58,Probe cover,Parker laboratories,9,6/16/2023,Surgical,,12,12
,,2/9/2024 15:55:28,Polychloroprene Surgical Gloves,Molnlycke,1,12/23/2028,PPE,,12,12
,,2/9/2024 15:56:13,Alcohol prep pads,Medline,1,,Hygiene,,12,12
,,2/9/2024 15:56:37,Surgical Gloves,Triumph,1,12/1/2023,PPE,,12,12
,,2/9/2024 15:56:43,unisex swab specimen collection kit for endocervical and Male Urethral swab specimens ,Aptima,80,3/1/2027,Diagnostic,,4,12
,,2/9/2024 15:56:46,alcohol prep pads,McKesson,2,11/1/2023,Hygiene,,12,12
,,2/9/2024 15:58:03,Eswab collection and transport system ,BD,1,6/1/2018,Diagnostic,,12,12
,,2/9/2024 15:58:37,Tweezers,Busse,18,7/30/2028,Hygiene,,12,11
,,2/9/2024 15:58:43,unisex swab specimen collection kit for endocervical and male urethral swab specimans ,Aptima,6,6/1/2027,Diagnostic,,4,12
,,2/9/2024 15:59:28,Jugs,,10,,Other,,12,11
,,2/9/2024 15:59:31,Immunoglobulin tube brown ,,35,,Diagnostic,,12,11
,,2/9/2024 16:00:14,Tumor Tissue Box,No manufacturer listed,3,,,,12,11
,,2/9/2024 16:00:16,Plastic test tube,No manufacturer listed,200,,Diagnostic,,12,14
,,2/9/2024 16:00:19,White Small Test Tube,No manufacturer listed,150,,Catheters/tubing,,12,11
,,2/9/2024 16:00:23,black small test tubes,No manufacturer listed,150,,Catheters/tubing,,12,11
,,2/9/2024 16:00:23,Needle Kits,No manufacturer listed,50,,Syringe/needles,,12,14
,,2/9/2024 16:00:31,"UPEP Tube, Red",Sarstedt ,100,,Catheters/tubing,,12,11
,,2/9/2024 16:00:53,Serum marker,BD,2,,,,12,11
,,2/9/2024 16:00:54,Urine 24hr protein,No manufacturer listed,37,,Diagnostic,,12,11
,,2/9/2024 16:00:56,test tubes,No manufacturer listed,100,,Other,,4,14
,,2/9/2024 16:01:05,Pipettes,No manufacturer listed,250,,Hygiene,,12,11
,,2/9/2024 16:01:08,Blood Collection needles,Eclipse,60,1/1/0001,Syringe/needles,No exp.,12,11
,,2/9/2024 16:01:14,Blue Small Test Tube,No manufacturer listed,4,,Catheters/tubing,,12,11
,,2/9/2024 16:02:03,Big cylinder syringe cap,No manufacturer listed,50,,,,12,11
,,2/9/2024 16:02:22,"Test Tube, White",SARSTEDT,100,,Catheters/tubing,,12,11
,,2/9/2024 16:02:24,Green Test Tube,No manufacturer listed,1,,Catheters/tubing,,12,11
,,2/9/2024 16:02:41,BD connecta ,BD,2,2/28/2025,Catheters/tubing,,12,14
,,2/9/2024 16:02:46,hematology,No manufacturer listed,15,,Other,,4,14
,,2/9/2024 16:02:49,Aliquot Plasma samples ,Bioagiltix ,2,7/13/2004,Diagnostic,,12,12
,,2/9/2024 16:03:10,Orange Test Tube,No manufacturer listed,4,,Catheters/tubing,,12,11
,,2/9/2024 16:03:31,Brown Test Tube,No manufacturer listed,4,,Catheters/tubing,,12,11
,,2/9/2024 16:03:47,DNA saliva kit ,BioAgilytix ,3,,Other,,12,12
,,2/9/2024 16:04:03,Subassembly G,No manufacturer listed,4,,Other,,12,11
,,2/9/2024 16:05:58,Wires ,No manufacturer listed,2,,Other,,12,14
,,2/9/2024 16:07:12,Specimen containers,Nalge nunc International corporation ,3,3/31/0024,Diagnostic,,12,14
,,2/9/2024 16:08:17,50mL test tubes,,8,,Diagnostic,,12,7
,,2/9/2024 16:09:03,bandaids,,12,,Bandages/gauze,,12,14
,,2/9/2024 16:09:04,Slide box ,Fisherbrand ,1,,Other,,12,12
,,2/9/2024 16:09:19,Small test tubes,,482,,Diagnostic,,12,7
,,2/9/2024 16:09:40,Little plastic bottle with lid ,No manufacturer listed,10,12/12/2028,Other,,12,7
,,2/9/2024 16:10:19,Diagnostic tubes (in bags with random things),No manufacturer listed,11,,Diagnostic,,12,12
,,2/9/2024 16:10:28,Plastic pipets ,No manufacturer listed,140,12/12/2028,Diagnostic,,12,7
,,2/9/2024 16:10:45,Stickers,No manufacturer listed,3,,Other,,12,11
,,2/9/2024 16:11:15,Specimen transport bags,No manufacturer listed,39,,Diagnostic,,12,15
,,2/9/2024 16:11:16,Gel wrap,Quintiles Lab,4,,Other,,12,7
,,2/9/2024 16:11:43,IV administrator ,BD,2,5/31/2025,Syringe/needles,,12,7
,,2/9/2024 16:11:55,Testing kit ,Gen mab ,5,12/31/2023,Diagnostic,,12,12
,,2/9/2024 16:12:01,Unscheduled PK,Oncobay,15,7/31/2024,Diagnostic,,12,15
,,2/9/2024 16:12:25,Blood collection needle ,BD,15,,Surgical,,12,15
,,2/9/2024 16:13:16, Blood collection needle,Eclipse,,7/31/2025,Syringe/needles,,12,7
,,2/9/2024 16:13:21,SubassemblyG ,No manufacturer listed,23,,Diagnostic,,12,15
,,2/9/2024 16:13:24,Subassembly Bag G ,,45,,Hygiene,,12,15
,,2/9/2024 16:13:24,Clear pouches,No manufacturer listed,6,,Hygiene,,12,15
,,2/9/2024 16:13:48,Detergent,henkel corporation,3 boxes,10/1/2024,Hygiene,,12,16
,,2/9/2024 16:14:46,Serum D Pl(ctDNA) kit ,,30,,Diagnostic,,12,15
,,2/9/2024 16:15:06,Blood Collection Kit,No manufacturer listed,16,,Diagnostic,,12,15
,,2/9/2024 16:15:35,Clear pouches,No manufacturer listed,2,,Hygiene,,12,15
,,2/9/2024 16:18:33,Gel Packs,Quintiles Laboratories ,20,,Other,,12,20
,,2/9/2024 16:20:42,"Random fallen items, needles samples, tubes ",No manufacturer listed,300,,Other,,12,12
,,2/9/2024 16:20:56,Pacemaker sheet ,Cardinal Health,5,,Hygiene,,12,21
,,2/9/2024 16:21:38,Snap Kap,Advance,6,,Other,,12,21
,,2/9/2024 16:21:54,Ventilator circuit,King system,9,10/26/2026,Surgical,,12,21
,,2/9/2024 16:22:22,reusable monoject plunger rod ,BD,1,12/1/2026,Catheters/tubing,,4,18
,,2/9/2024 16:22:56,Aliquot V plasma sample bags ,Bioagilytix,10,,Other,,12,12
,,2/9/2024 16:23:26,Accessory Drain Bag,No manufacturer listed,1,1/31/2026,Other,,12,18
,,2/9/2024 16:24:01,Mucus specimen trap,Medichoice,3,5/16/2025,Diagnostic,,12,18
,,2/9/2024 16:24:05,mayo scissor straight ,Stryker,4,2/27/2026,Surgical,,4,18
,,2/9/2024 16:25:20,luer lock connector,No manufacturer listed,11,7/31/2027,Other,,12,18
,,2/9/2024 16:25:27,Ulta comfort covers,Allen,5,,,,12,22
,,2/9/2024 16:25:37,Berman Airway,Medichoice,4,,Catheters/tubing,,12,18
,,2/9/2024 16:25:59,Assorted test tube+ supplies,No manufacturer listed,500,,Syringe/needles,,12,22
,,2/9/2024 16:26:13,Urethral Catheter,Medline,1,4/28/2028,Catheters/tubing,,12,18
,,2/9/2024 16:26:17,Plating Kits,No manufacturer listed,50,,Other,,12,22
,,2/9/2024 16:26:42,Stapler cannula seal,No manufacturer listed,7,,Catheters/tubing,,12,22
,,2/9/2024 16:27:05,Random bags ,No manufacturer listed,15,,Other,,12,12
,,2/9/2024 16:27:20,Catheter,Bard,2,2/29/2028,Catheters/tubing,,12,18
,,2/9/2024 16:27:24,radiotranslucent electrode,padpro,1,1/29/2024,Other,,4,18
,,2/9/2024 16:27:33,Hi-Lo Oral/nasal tracheal tube cuffed,Covidien ,1,6/8/2028,Catheters/tubing,,12,18
,,2/9/2024 16:27:44,Microsuture,GEM,8,,Syringe/needles,,12,22
,,2/9/2024 16:27:57,BD eclipse needle,BD,6,5/31/2027,Syringe/needles,,12,18
,,2/9/2024 16:28:27,Catheter,Bardex,1,12/31/2026,Catheters/tubing,,12,18
,,2/9/2024 16:29:45,monitoring extension set ,icumedical,1,8/1/2026,Diagnostic,,4,18
,,2/9/2024 16:30:05,Specimen collection kit A ,Medpace reference laboratories ,9,,Diagnostic,,12,12
,,2/9/2024 16:30:38,Pre-Connected Urethral catherization tray and bag,Medline,1,1/31/2025,Other,,12,18
,,2/9/2024 16:31:19,Catheter,Lubri-sil,1,4/30/2028,Catheters/tubing,,12,18
,,2/9/2024 16:31:27,50mL syringe ,BD,1,9/30/2028,Syringe/needles,,4,18
,,2/9/2024 16:31:51,Random bags (tubes needles …),No manufacturer listed,15,,Other,,12,12
,,2/9/2024 16:32:04,Smartsite Needle Free Valve,BD,5,5/2/2026,Other,,12,18
,,2/9/2024 16:32:11,Sticky name tags,No manufacturer listed,3 rolls,,Other,,12,18
,,2/9/2024 16:32:26,Drug Screen Cup,Clia,27,5/21/2025,Diagnostic,,12,23
,,2/9/2024 16:32:35,Suction device,Air life,50,9/20/2024,Surgical,,12,23
,,2/9/2024 16:33:02,Pipettes,No manufacturer listed,50,,Syringe/needles,,12,12
,,2/9/2024 16:33:25,Adult briefs ,Cardinal Health,20,,Other,,12,23
,,2/9/2024 16:33:28,N95,No manufacturer listed,20,,PPE,,12,23
,,2/9/2024 16:33:37,6 inch monitoring extension ,Icumedical,1,1/10/2026,Other,,12,18
,,2/9/2024 16:34:13,Abdominal Pad,Medline,1,,Other,,12,18
,,2/9/2024 16:34:27,hold-n-place leg band ,dale,1,4/30/2028,Bandages/gauze,,4,18
,,2/9/2024 16:34:58,Anesthia face mask,No manufacturer listed,3,,Surgical,,12,23
,,2/9/2024 16:35:17,GVL 2 Stat,Glidescope,10,,Catheters/tubing,,12,23
,,2/9/2024 16:35:32,Balloon Bags  ,No manufacturer listed,4,,Other,,12,23
,,2/9/2024 16:35:35,Madgic ,Teleflex,1,7/18/2026,Catheters/tubing,,12,18
,,2/9/2024 16:35:49,Vacutainer,BD,27,,Other,,12,18
,,2/9/2024 16:35:51,Adherent Wrap,3M,1,10/7/2026,Other,,12,18
,,2/9/2024 16:36:03,Tegaderm,No manufacturer listed,1,,Bandages/gauze,,12,23
,,2/9/2024 16:36:03,smallbore tubing ,BD,1,8/2/2026,Catheters/tubing,,4,18
,,2/9/2024 16:36:16,Transporte tape,,7,,,,12,19
,,2/9/2024 16:36:35,Laceration Tray w/ Lidded TR,Medline,14,8/31/2028,Syringe/needles,,12,19
,,2/9/2024 16:36:55,Allevyn non adhesive,Smith&nephew,4,3/6/2023,Bandages/gauze,,12,19
,,2/9/2024 16:37:04,Berman Airway,MediChoice,1,,Other,,12,18
,,2/9/2024 16:37:07,Gauze,No manufacturer listed,2,,Bandages/gauze,,12,23
,,2/9/2024 16:37:13,Nasal Tracheal Tube,COVIDIEN,3,,Catheters/tubing,,12,23
,,2/9/2024 16:37:27,protective seal ,Brava,1,1/10/2025,Bandages/gauze,,4,18
,,2/9/2024 16:37:37,Chloraprep Hi-Lite Orange,BD,1,,Catheters/tubing,,12,18
